"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0X210","2020-04-05 00:00:00","38.000","14.000","2.300","17.700","0.830","1011.900","","0.000","-99.000","-99.000","-99.000","25.500","","17.700",""
"C0R680","2020-04-05 00:00:00","13.000","40.000","4.000","22.400","0.810","1016.400","","1.500","-99.000","-99.000","-99.000","27.800","","22.200",""
"C0AH10","2020-04-05 00:00:00","30.000","108.000","2.500","17.800","0.890","1017.900","","0.000","-99.000","-99.000","-99.000","19.200","","17.600",""
"C0E880","2020-04-05 00:00:00","507.000","64.000","6.200","12.700","0.990","960.300","","0.500","-99.000","-99.000","-99.000","16.400","","12.500",""
"C0O960","2020-04-05 00:00:00","112.000","346.000","1.800","17.400","0.850","1003.800","","0.000","-99.000","-99.000","-99.000","28.300","","17.400",""
"C0H950","2020-04-05 00:00:00","192.000","299.000","0.400","17.100","0.890","996.200","","0.000","-99.000","-99.000","-99.000","25.300","","17.100",""
"C0SA60","2020-04-05 00:00:00","6.000","349.000","1.200","20.400","0.830","1018.500","","0.000","-99.000","-99.000","-99.000","27.800","","20.300",""
"C0A540","2020-04-05 00:00:00","401.000","0.000","0.000","13.100","1.000","974.600","","2.000","-99.000","-99.000","-99.000","15.500","","13.000",""
"C0C690","2020-04-05 00:00:00","242.000","88.000","1.000","15.200","0.700","992.900","","1.000","-99.000","-99.000","-99.000","16.000","","14.600",""
"C0V370","2020-04-05 00:00:00","74.000","306.000","0.500","18.200","0.840","1009.500","","0.000","-99.000","-99.000","-99.000","29.000","","18.200",""
"C0I110","2020-04-05 00:00:00","161.000","13.000","1.500","18.200","0.830","1000.300","","0.000","-99.000","-99.000","-99.000","25.900","","18.200",""
"C0M750","2020-04-05 00:00:00","10.000","22.000","6.100","18.200","0.720","1017.000","","0.000","-99.000","-99.000","-99.000","24.000","","18.000",""
"C0R340","2020-04-05 00:00:00","230.000","25.000","2.500","19.700","0.890","991.100","","0.000","-99.000","-99.000","-99.000","28.100","","19.100",""
